TH	1582	CO	296	DI	210	US	165	EI	122
IN	784	DE	275	SI	210	MO	164	AD	120
ER	667	RA	275	CA	202	OM	163	SS	120
RE	625	RO	275	UN	201	AI	162	IL	118
AN	542	LI	273	UT	189	PR	161	OS	117
HE	542	RI	271	NC	188	WE	158	UL	115
AR	511	IO	270	WI	188	AC	152	EM	114
EN	511	LE	263	HO	184	EE	148	NS	113
TI	510	ND	263	TR	183	ET	146	OT	113
TE	492	MA	260	BE	181	SA	146	GE	112
AT	440	SE	259	CE	177	NI	142	IR	112
ON	420	AL	246	WH	177	RT	142	AV	111
HA	420	IC	244	LL	176	NA	141	CT	111
OU	361	FO	239	FI	175	OL	141	TU	108
IT	356	IL	232	NO	175	EV	131	DA	107
ES	343	NE	232	TO	175	IE	129	AM	104
ST	340	LA	229	PE	174	MI	128	CI	104
OR	339	TA	225	AS	172	NG	128	SU	102
NT	337	EL	216	WA	171	PL	128	BL	101
HI	330	ME	216	UR	169	IV	127	OF	101
EA	321	EC	214	LO	166	PO	125	BU	100
VE	321	IS	211	PA	165	CH	122		
